,,,,,
EC2 INSTANCE,REGION :cn-north-1
InstanceID,Instance_State,InstanceName,Instance_Type,LaunchTime,Instance_Placement,VPC_Id,Contact,Environment,Project,Creator,Tier,Private IP Address,Public IP Address,Security Group
i-da042a62,running,internetds_front_zkp_app02,c3.xlarge,2016-10-21 07:17:22+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.250,,sg_app_internetds_front_zkp
i-20002b98,running,yc_internetds_life_xqyhb_app02,c3.xlarge,2016-11-04 08:03:59+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.88,,sg_app_internetds_life_xqyhb
i-4b1a2ef3,running,internetds_life_jsyq_app02,m3.2xlarge,2016-11-15 06:30:43+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.17,,sg_app_internetds_life_jsyq
i-98696ea0,running,yc_internetds_life_loadrunner3,c3.xlarge,2016-11-18 03:13:33+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.144,,sg_app_internetds_life_loadrunner
i-d8615ce0,running,abfinance_db01,c3.8xlarge,2016-10-08 09:27:55+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,DB,10.219.20.214,,sg_db_abfinance
i-b8526180,running,abfinance_95569_app06,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.56,,sg_app_abfinance_95569
i-b9526181,running,abfinance_95569_app07,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.57,,sg_app_abfinance_95569
i-ba526182,running,abfinance_95569_app08,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.62,,sg_app_abfinance_95569
i-bb526183,running,abfinance_95569_app09,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.63,,sg_app_abfinance_95569
i-bc526184,running,abfinance_95569_app10,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.60,,sg_app_abfinance_95569
i-bd526185,running,abfinance_95569_app11,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.61,,sg_app_abfinance_95569
i-be526186,running,abfinance_95569_app12,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.54,,sg_app_abfinance_95569
i-bf526187,running,abfinance_95569_app13,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.55,,sg_app_abfinance_95569
i-b652618e,running,abfinance_95569_app04,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.58,,sg_app_abfinance_95569
i-b752618f,running,abfinance_95569_app05,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.59,,sg_app_abfinance_95569
i-a0526198,running,abfinance_95569_app01,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.52,,sg_app_abfinance_95569
i-a1526199,running,abfinance_95569_app02,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.53,,sg_app_abfinance_95569
i-a352619b,running,abfinance_95569_app03,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.64,,sg_app_abfinance_95569
i-046148bc,running,internetds_epolicy_app03,c3.xlarge,2016-10-24 09:18:13+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.79.89,,sg_app_internetds_epolicy
i-056148bd,running,internetds_epolicy_app04,c3.xlarge,2016-10-24 09:18:13+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.79.90,,sg_app_internetds_epolicy
i-967e79ae,running,yc_internetds_life_xqyhb_app04,c3.xlarge,2016-11-18 07:24:02+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.70.70,,sg_app_internetds_life_xqyhb
i-c7795b7f,running,uat_internetds_life_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.16,,test_sg_app_internetds
i-392d1e01,running,dev_internetds_mid01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.36.109,,test_sg_app_internetds
i-04330e3c,running,test_epolicy_mail01,c3.xlarge,2016-10-09 01:53:09+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,App,10.219.32.69,,test_sg_mail_internetds
i-898aa931,running,abfinance_95569_app27,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.32,,sg_app_abfinance_95569
i-808aa938,running,abfinance_95569_app19,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.29,,sg_app_abfinance_95569
i-818aa939,running,abfinance_95569_app20,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.30,,sg_app_abfinance_95569
i-828aa93a,running,abfinance_95569_app21,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.23,,sg_app_abfinance_95569
i-838aa93b,running,abfinance_95569_app22,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.28,,sg_app_abfinance_95569
i-848aa93c,running,abfinance_95569_app23,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.35,,sg_app_abfinance_95569
i-858aa93d,running,abfinance_95569_app24,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.22,,sg_app_abfinance_95569
i-868aa93e,running,abfinance_95569_app25,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.33,,sg_app_abfinance_95569
i-878aa93f,running,abfinance_95569_app26,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.34,,sg_app_abfinance_95569
i-7a89aac2,running,abfinance_95569_app14,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.27,,sg_app_abfinance_95569
i-7c89aac4,running,abfinance_95569_app15,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.25,,sg_app_abfinance_95569
i-7d89aac5,running,abfinance_95569_app16,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.26,,sg_app_abfinance_95569
i-7e89aac6,running,abfinance_95569_app17,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.31,,sg_app_abfinance_95569
i-7f89aac7,running,abfinance_95569_app18,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.24,,sg_app_abfinance_95569
i-8feeeab7,running,internetds_life_wzyhdz_ftp,c3.xlarge,2016-11-16 02:52:38+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,95569,zhouchunlin,App,10.219.72.5,,sg_app_internetds_life_ftp
i-9b052b23,running,internetds_life_bq_app02,c3.xlarge,2016-10-21 07:31:16+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.254,,sg_app_internetds_life_bq
i-43ddf2fb,running,uat_internetds_datax_app4,c3.xlarge,2016-10-18 02:28:54+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.100,,test_sg_app_internetds
i-1f577ea7,running,abfinance_95569_db02,c3.8xlarge,2016-10-25 07:24:27+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,DB,10.219.25.65,,sg_db_abfinance_95569
i-322d1e0a,running,dev_internetds_datax_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.149,,test_sg_app_internetds
i-987f5d20,running,dev_internetds_cache02,r3.2xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.191,,test_sg_db_internetds
i-ae032816,running,abfinance_95569_nginx02,c3.xlarge,2016-11-04 06:32:43+00:00,cn-north-1b,vpc-b55fabd1,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.23.6,,sg_app_abfinance_95569_nginx
i-6d002ed5,running,internetds_dmz_nginx02,c3.xlarge,2016-10-21 08:52:42+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NGINX,10.219.65.236,,sg_dmz_internetds_nginx
i-4f93a677,running,amq,c3.xlarge,2016-09-07 06:30:48+00:00,cn-north-1a,vpc-6d5ab208,Infra,Prod,internetds,zhouchunlin,NGINX,172.31.0.30,54.222.193.98,dssecurity-group
i-4093a678,running,zookeeper,c3.xlarge,2016-09-07 06:30:48+00:00,cn-north-1a,vpc-6d5ab208,Infra,Prod,internetds,zhouchunlin,NGINX,172.31.0.31,54.223.109.23,dssecurity-group
i-8099a6b8,running,internetds_dmz_nginx01,c3.xlarge,2016-10-20 07:56:45+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NGINX,10.219.64.115,,sg_dmz_internetds_nginx
i-ae86a516,running,abfinance_nat02,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,NAT,10.219.17.134,,sg_nat_abfinance
i-d6785a6e,running,dev_internetds_front_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.87,,test_sg_app_internetds
i-c1042a79,running,internetds_front_mq_app02,c3.xlarge,2016-10-21 07:20:12+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.69.47,,sg_app_internetds_front_mq
i-67002bdf,running,yc_internetds_front_mq_app02,c3.xlarge,2016-11-04 08:12:26+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.69.225,,sg_app_internetds_front_mq
i-ba241782,running,uat_internetds_mid02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,Middleware,10.219.36.174,,test_sg_app_internetds
i-5a002ee2,running,internetds_nat02,c3.xlarge,2016-10-21 08:57:46+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NAT,10.219.65.253,,sg_nat_internetds
i-2e281b16,running,dev_internetds_front_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.99,,test_sg_app_internetds
i-e298b05a,running,internetds_epolicy_app07,c3.xlarge,2016-11-02 03:06:18+00:00,cn-north-1b,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.79.195,,sg_app_internetds_epolicy
i-e398b05b,running,internetds_epolicy_app08,c3.xlarge,2016-11-02 03:06:18+00:00,cn-north-1b,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.79.194,,sg_app_internetds_epolicy
i-ef6c5fd7,running,abfinance_fileshare01,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.20.99,,sg_app_abfinance_fileshare
i-a9052b11,running,internetds_front_yyzc_app02,c3.xlarge,2016-10-21 07:24:52+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.235,,sg_app_internetds_front_yyzc
i-627f5dda,running,dev_internetds_mid02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.210,,test_sg_app_internetds
i-ac9eb114,running,abfinance_top20_ubuntu_db2,c3.xlarge,2016-10-19 06:18:04+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,DB,10.219.27.72,,sg_db_abfinance_top20
i-1a7a58a2,running,uat_internetds_opsmon_mongo02,m3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,DB,10.219.37.178,,test_sg_db_internetds
i-1b7a58a3,running,uat_internetds_opsmon_mongo01,m3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,DB,10.219.37.177,,test_sg_db_internetds
i-70002bc8,running,yc_internetds_life_bdgl_app02,m3.xlarge,2016-11-04 08:06:18+00:00,cn-north-1b,vpc-175eaa73,Infra,UAT,internetds,zhouchunlin,DB,10.219.73.216,,sg_app_internetds_life_bdgl
i-b8685b80,running,abfinance_nat01,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,NAT,10.219.16.179,,sg_nat_abfinance
i-c4281bfc,running,dev_internetds_opsmon_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.235,,test_sg_app_internetds
i-aabd9012,running,test_epolicy_mail02,c3.xlarge,2016-10-09 01:55:44+00:00,cn-north-1b,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,App,10.219.33.12,,test_sg_mail_internetds
i-b7a6938f,running,db2,m3.xlarge,2016-09-07 01:13:22+00:00,cn-north-1a,vpc-6d5ab208,Infra,Test,internetds,zhouchunlin,App,172.31.0.85,54.223.106.71,dssecurity-group
i-88a693b0,running,db1,m3.xlarge,2016-09-07 01:13:22+00:00,cn-north-1a,vpc-6d5ab208,Infra,Test,internetds,zhouchunlin,App,172.31.0.86,54.223.106.64,dssecurity-group
i-0a87b832,running,internetds_life_bq_app01,c3.xlarge,2016-10-20 13:29:23+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.171,,sg_app_internetds_life_bq
i-9c350ea4,running,yc_internetds_front_dsjr_app01,c3.xlarge,2016-11-04 08:00:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.252,,sg_app_internetds_front_dsjr
i-21757219,running,abfinance_top20_nginx01,c3.xlarge,2016-11-18 05:01:58+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,Nginx,10.219.16.50,,sg_app_abfinance_top20_nginx
i-1adfe022,running,abfinance_top20_ubuntu_app2,c3.xlarge,2016-10-19 06:00:53+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,App,10.219.28.182,,sg_app_abfinance_top20
i-15dfe02d,running,abfinance_top20_ubuntu_app1,c3.xlarge,2016-10-19 06:00:53+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,App,10.219.28.181,,sg_app_abfinance_top20
i-3bead403,running,internetds_life_xqyhb_app03,c3.xlarge,2016-10-23 11:15:01+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.52,,sg_app_internetds_life_xqyhb
i-1786b92f,running,internetds_front_mq_app01,c3.xlarge,2016-10-20 13:30:35+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.68.47,,sg_app_internetds_front_mq
i-b61a2e0e,running,internetds_life_bq_app02,c3.xlarge,2016-11-15 06:23:50+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.172,,sg_app_internetds_life_bq
i-515a6069,running,abfinance_lcb_admin01,c3.xlarge,2016-11-08 07:41:51+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.18.251,,sg_app_abfinance_lcb_admin
i-2e032d96,running,internetds_opsmon_DB02,m3.xlarge,2016-10-21 08:27:36+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,DB,10.219.89.46,,sg_db_internetds_opsmon
i-1b012aa3,running,yc_internetds_front_dsjr_app02,c3.xlarge,2016-11-04 08:02:15+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,DB,10.219.69.71,,sg_app_internetds_front_dsjr
i-1eb28f26,running,uat_internetds_datax_app1,c3.xlarge,2016-10-11 03:15:10+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.12,,test_sg_app_internetds
i-79b59bc1,running,internetds_datax_app02,c3.xlarge,2016-10-23 12:32:02+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.85.171,,sg_app_internetds_datax
i-7ab59bc2,running,internetds_datax_yc_app02,c3.xlarge,2016-10-23 12:32:02+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.85.172,,sg_app_internetds_datax
i-4e350e76,running,yc_internetds_life_bdgl_app01,m3.xlarge,2016-11-04 08:05:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.154,,sg_app_internetds_life_bdgl
i-4b80aff3,running,abfinance_top20_ubuntu_app3,c3.xlarge,2016-10-19 06:03:00+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,App,10.219.29.220,,sg_app_abfinance_top20
i-30300b08,running,abfinance_95569_nginx01,c3.xlarge,2016-11-04 06:31:09+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,App,10.219.22.223,,sg_app_abfinance_95569_nginx
i-3e92ba86,running,abfinance_lcb_nginx02,c3.xlarge,2016-11-02 07:16:58+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,App,10.219.19.35,,sg_app_abfinance_lcb_nginx
i-ae251696,running,sim_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,SIM,internetds,zhouchunlin,App,10.219.34.138,,test_sg_app_internetds
i-af251697,running,uat_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.34.139,,test_sg_app_internetds
i-d82516e0,running,dev_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.34.140,,test_sg_app_internetds
i-d92516e1,running,dat_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DAT,internetds,zhouchunlin,App,10.219.34.141,,test_sg_app_internetds
i-0187b839,running,internetds_life_bdgl_app01,m3.xlarge,2016-10-20 13:28:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.78,,sg_app_internetds_life_bdgl
i-95260a2d,running,dev_internetds_life_app01,c3.xlarge,2016-10-11 03:08:08+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.167,,test_sg_app_internetds
i-b17a5809,running,uat_internetds_front_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.109,,test_sg_app_internetds
i-beba8486,running,internetds_epolicy_app01,c3.xlarge,2016-10-24 09:16:01+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.31,,sg_app_internetds_epolicy
i-bfba8487,running,internetds_epolicy_app02,c3.xlarge,2016-10-24 09:16:01+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.30,,sg_app_internetds_epolicy
i-741a2ecc,running,internetds_life_xqyhb_app02,c3.xlarge,2016-11-15 06:27:41+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.26,,sg_app_internetds_life_xqyhb
i-b0507a08,running,abfinance_fileshare01,c3.xlarge,2016-11-08 07:50:00+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.19.88,,sg_app_abfinance_fileshare
i-11002ba9,running,yc_internetds_front_zkp_app02,c3.xlarge,2016-11-04 08:10:40+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,abfinance,zhouchunlin,App,10.219.69.155,,sg_app_internetds_front_zkp
i-7c002bc4,running,yc_internetds_front_nginx02,c3.xlarge,2016-11-04 08:09:08+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,abfinance,zhouchunlin,App,10.219.69.48,,sg_app_internetds_front_nginx
i-0986a5b1,running,abfinance_lcb_webview04,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,Web,10.219.19.158,,sg_app_abfinance_lcb_webview
