,,,,,
EC2 INSTANCE,REGION :cn-north-1
InstanceID,Instance_State,InstanceName,Instance_Type,LaunchTime,Instance_Placement,VPC_Id,Contact,Environment,Project,Creator,Tier,Private IP Address,Public IP Address,Security Group,Key Name
i-04330e3c,running,test_epolicy_mail01,c3.xlarge,2016-10-09 01:53:09+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,App,10.219.32.69,,test_sg_mail_internetds ,test_internetds_public
i-8feeeab7,running,internetds_life_wzyhdz_ftp,c3.xlarge,2016-11-16 02:52:38+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.5,,sg_app_internetds_life_ftp ,kp_deploy
i-43ddf2fb,running,uat_internetds_datax_app4,c3.xlarge,2016-10-18 02:28:54+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.100,,test_sg_app_internetds ,test_internetds_private
i-322d1e0a,running,dev_internetds_datax_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.149,,test_sg_app_internetds ,test_internetds_private
i-987f5d20,running,dev_internetds_cache02,r3.2xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.191,,test_sg_db_internetds ,test_internetds_private
i-0f37b90b8548a09e3,running,yc_internetds_front_dsjr_8capp06,c3.2xlarge,2016-12-10 03:01:53+00:00,cn-north-1b,vpc-175eaa73,Infra,yc,internetds,zhouchunlin,App,10.219.69.130,,sg_app_internetds_front_dsjr ,kp_deploy
i-6d002ed5,running,internetds_dmz_nginx02,c3.xlarge,2016-10-21 08:52:42+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NGINX,10.219.65.236,,sg_dmz_internetds_nginx ,kp_deploy
i-8099a6b8,running,internetds_dmz_nginx01,c3.xlarge,2016-10-20 07:56:45+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NGINX,10.219.64.115,,sg_dmz_internetds_nginx ,kp_deploy
i-d6785a6e,running,dev_internetds_front_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.87,,test_sg_app_internetds ,test_internetds_private
i-c1042a79,running,internetds_front_mq_app02,c3.xlarge,2016-10-21 07:20:12+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.69.47,,sg_app_internetds_front_mq ,kp_deploy
i-0950e898c862eb038,running,yc_internetds_epolicy_gzyq_db01,r3.xlarge,2016-12-21 06:29:06+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.80.219,,sg_db_internetds_epolicy ,kp_deploy
i-67002bdf,running,yc_internetds_front_mq_app02,c3.xlarge,2016-11-04 08:12:26+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.69.225,,sg_app_internetds_front_mq ,kp_deploy
i-ba241782,running,uat_internetds_mid02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,Middleware,10.219.36.174,,test_sg_app_internetds ,test_internetds_private
i-5a002ee2,running,internetds_nat02,c3.xlarge,2016-10-21 08:57:46+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,NAT,10.219.65.253,,sg_nat_internetds ,kp_deploy
i-2e281b16,running,dev_internetds_front_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.99,,test_sg_app_internetds ,test_internetds_private
i-e298b05a,running,internetds_epolicy_app07,c3.4xlarge,2016-12-13 03:54:22+00:00,cn-north-1b,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.79.195,,sg_app_internetds_epolicy ,kp_deploy
i-e398b05b,running,internetds_epolicy_app08,c3.4xlarge,2016-12-13 03:54:22+00:00,cn-north-1b,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.79.194,,sg_app_internetds_epolicy ,kp_deploy
i-08a66e608f46d4333,running,yc_internetds_epolicy_gzyq_db02,r3.xlarge,2016-12-21 06:31:18+00:00,cn-north-1b,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.81.11,,sg_db_internetds_epolicy ,kp_deploy
i-a9052b11,running,internetds_front_yyzc_app02,c3.xlarge,2016-10-21 07:24:52+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.235,,sg_app_internetds_front_yyzc ,kp_deploy
i-627f5dda,running,dev_internetds_mid02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.210,,test_sg_app_internetds ,test_internetds_private
i-1a7a58a2,running,uat_internetds_opsmon_mongo02,m3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,DB,10.219.37.178,,test_sg_db_internetds ,test_internetds_private
i-1b7a58a3,running,uat_internetds_opsmon_mongo01,m3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,DB,10.219.37.177,,test_sg_db_internetds ,test_internetds_private
i-09a09db0f77fde82a,running,yc_internetds_front_nginx02,c3.xlarge,2016-12-12 08:55:29+00:00,cn-north-1b,vpc-175eaa73,Infra,UAT,internetds,zhouchunlin,DB,10.219.69.192,,sg_app_internetds_front_nginx ,kp_deploy
i-70002bc8,running,yc_internetds_life_bdgl_app02,m3.xlarge,2016-11-04 08:06:18+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.216,,sg_app_internetds_life_bdgl ,kp_deploy
i-6758555f,running,internetds_opsmon_MongoDB02,m3.xlarge,2016-12-07 09:25:37+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.88.36,,sg_Mongo_internetds_opsmon ,kp_deploy
i-2f8e8c17,running,yc_internetds_life_xqyhb_app12,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.159,,sg_app_internetds_life_xqyhb ,kp_deploy
i-008e8c38,running,yc_internetds_life_xqyhb_app01,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.163,,sg_app_internetds_life_xqyhb ,kp_deploy
i-018e8c39,running,yc_internetds_life_xqyhb_app07,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.162,,sg_app_internetds_life_xqyhb ,kp_deploy
i-028e8c3a,running,yc_internetds_life_xqyhb_app08,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.161,,sg_app_internetds_life_xqyhb ,kp_deploy
i-038e8c3b,running,yc_internetds_life_xqyhb_app09,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.160,,sg_app_internetds_life_xqyhb ,kp_deploy
i-048e8c3c,running,yc_internetds_life_xqyhb_app10,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.165,,sg_app_internetds_life_xqyhb ,kp_deploy
i-058e8c3d,running,yc_internetds_life_xqyhb_app11,c3.xlarge,2016-12-06 13:09:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.164,,sg_app_internetds_life_xqyhb ,kp_deploy
i-c4281bfc,running,dev_internetds_opsmon_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.235,,test_sg_app_internetds ,test_internetds_private
i-aabd9012,running,test_epolicy_mail02,c3.xlarge,2016-10-09 01:55:44+00:00,cn-north-1b,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,App,10.219.33.12,,test_sg_mail_internetds ,test_internetds_public
i-0a87b832,running,internetds_life_bq_app01,c3.xlarge,2016-10-20 13:29:23+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.171,,sg_app_internetds_life_bq ,kp_deploy
i-9c350ea4,running,yc_internetds_front_dsjr_app01,c3.xlarge,2016-11-04 08:00:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.252,,sg_app_internetds_front_dsjr ,kp_deploy
i-0ea7036c46d871714,running,yc_internetds_life_xqyhb_8capp06,c3.2xlarge,2016-12-10 02:56:16+00:00,cn-north-1a,vpc-175eaa73,Infra,yc,internetds,zhouchunlin,App,10.219.72.134,,sg_app_internetds_life_xqyhb ,kp_deploy
i-3bead403,running,internetds_life_xqyhb_app03,c3.xlarge,2016-10-23 11:15:01+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.52,,sg_app_internetds_life_xqyhb ,kp_deploy
i-1786b92f,running,internetds_front_mq_app01,c3.xlarge,2016-10-20 13:30:35+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,Middleware,10.219.68.47,,sg_app_internetds_front_mq ,kp_deploy
i-b61a2e0e,running,internetds_life_bq_app02,c3.xlarge,2016-11-15 06:23:50+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.172,,sg_app_internetds_life_bq ,kp_deploy
i-1b012aa3,running,yc_internetds_front_dsjr_app02,c3.xlarge,2016-11-04 08:02:15+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.71,,sg_app_internetds_front_dsjr ,kp_deploy
i-1eb28f26,running,uat_internetds_datax_app1,c3.xlarge,2016-10-11 03:15:10+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.12,,test_sg_app_internetds ,test_internetds_private
i-79b59bc1,running,internetds_datax_app02,c3.xlarge,2016-10-23 12:32:02+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.85.171,,sg_app_internetds_datax ,kp_deploy
i-7ab59bc2,running,internetds_datax_yc_app02,c3.xlarge,2016-10-23 12:32:02+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.85.172,,sg_app_internetds_datax ,kp_deploy
i-4e350e76,running,yc_internetds_life_bdgl_app01,m3.xlarge,2016-11-04 08:05:34+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.154,,sg_app_internetds_life_bdgl ,kp_deploy
i-ae251696,running,sim_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,SIM,internetds,zhouchunlin,App,10.219.34.138,,test_sg_app_internetds ,test_epolicy_private
i-af251697,running,uat_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.34.139,,test_sg_app_internetds ,test_epolicy_private
i-d82516e0,running,dev_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.34.140,,test_sg_app_internetds ,test_epolicy_private
i-d92516e1,running,dat_internetds_epolicy_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DAT,internetds,zhouchunlin,App,10.219.34.141,,test_sg_app_internetds ,test_epolicy_private
i-0187b839,running,internetds_life_bdgl_app01,m3.xlarge,2016-10-20 13:28:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.78,,sg_app_internetds_life_bdgl ,kp_deploy
i-95260a2d,running,dev_internetds_life_app01,c3.xlarge,2016-10-11 03:08:08+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.167,,test_sg_app_internetds ,test_internetds_private
i-b17a5809,running,uat_internetds_front_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.109,,test_sg_app_internetds ,test_internetds_private
i-0b97c37c5f2045b1b,running,yc_internetds_front_dsjr_8capp02,c3.2xlarge,2016-12-10 03:02:08+00:00,cn-north-1b,vpc-175eaa73,Infra,yc,internetds,zhouchunlin,App,10.219.69.133,,sg_app_internetds_front_dsjr ,kp_deploy
i-beba8486,running,internetds_epolicy_app01,c3.xlarge,2016-12-27 06:46:56+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.31,,sg_app_internetds_epolicy ,kp_deploy
i-bfba8487,running,internetds_epolicy_app02,c3.xlarge,2016-10-24 09:16:01+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.30,,sg_app_internetds_epolicy ,kp_deploy
i-741a2ecc,running,internetds_life_xqyhb_app02,c3.xlarge,2016-11-15 06:27:41+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.26,,sg_app_internetds_life_xqyhb ,kp_deploy
i-11002ba9,running,yc_internetds_front_zkp_app02,c3.xlarge,2016-11-04 08:10:40+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.155,,sg_app_internetds_front_zkp ,kp_deploy
i-0cefdd7cafc053535,running,yc_internetds_epolicy_gzyq_app02,r3.large,2016-12-21 05:47:34+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.79.73,,sg_app_internetds_epolicy ,kp_deploy
i-907e79a8,running,yc_internetds_life_xqyhb_app06,c3.xlarge,2016-11-18 07:23:52+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.70.231,,sg_app_internetds_life_xqyhb ,kp_deploy
i-985668a0,running,internetds_front_yyzc_app01,c3.xlarge,2016-10-21 08:46:52+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.170,,sg_app_internetds_front_yyzc ,kp_deploy
i-1186b929,running,internetds_life_xqyhb_app01,c3.xlarge,2016-10-20 13:29:54+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.176,,sg_app_internetds_life_xqyhb ,kp_deploy
i-3e350e06,running,yc_internetds_life_xqyhb_app03,c3.xlarge,2016-11-04 08:04:42+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.157,,sg_app_internetds_life_xqyhb ,kp_deploy
i-8a7a5832,running,uat_internetds_mid01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,Middleware,10.219.37.4,,test_sg_app_internetds ,test_internetds_private
i-8e7f5d36,running,uat_internetds_opsmon_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.55,,test_sg_app_internetds ,test_internetds_private
i-d1a598e9,running,dev_internetds_datax_app03,c3.xlarge,2016-10-11 06:39:04+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.31,,test_sg_app_internetds ,test_internetds_private
i-bd7e5c05,running,dev_internetds_health_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.158,,test_sg_app_internetds ,test_internetds_private
i-51634ae9,running,internetds_dmz_email02,c3.xlarge,2016-10-24 10:04:27+00:00,cn-north-1b,vpc-175eaa73,Sinnet,Prod,internetds,Sinnet,App,10.219.65.114,,sg_dmz_internetds_email ,kp_deploy
i-0ac650f53ef48b453,running,yc_internetds_epolicy_gzyq_win01,m4.large,2016-12-23 06:26:53+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.225,,sg_app_internetds_epolicy ,kp_deploy
i-57350e6f,running,yc_internetds_front_zkp_app01,c3.xlarge,2016-11-04 08:09:51+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.192,,sg_app_internetds_front_zkp ,kp_deploy
i-b0b88688,running,internetds_dmz_email01,c3.xlarge,2016-11-01 09:24:27+00:00,cn-north-1a,vpc-175eaa73,Sinnet,Prod,internetds,Sinnet,App,10.219.64.56,,sg_dmz_internetds_email ,kp_deploy
i-587e5ce0,running,uat_internetds_health_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.235,,test_sg_app_internetds ,test_internetds_private
i-98360da0,running,yc_internetds_front_mq_app01,c3.xlarge,2016-11-04 08:11:42+00:00,cn-north-1a,vpc-175eaa73,Infra,UAT,internetds,zhouchunlin,App,10.219.68.11,,sg_app_internetds_front_mq ,kp_deploy
i-965855ae,running,internetds_opsmon_MongoDB03,m3.xlarge,2016-12-07 09:27:16+00:00,cn-north-1a,vpc-175eaa73,Infra,UAT,internetds,zhouchunlin,App,10.219.88.61,,sg_Mongo_internetds_opsmon ,kp_deploy
i-ab251693,running,uat_internetds_opsmon_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.66,,test_sg_app_internetds ,test_internetds_private
i-aa032d12,running,internetds_opsmon_app02,c3.xlarge,2016-10-21 08:17:28+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.89.79,,sg_app_internetds_opsmon ,kp_deploy
i-062d1e3e,running,uat_internetds_datax_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.182,,test_sg_app_internetds ,test_internetds_private
i-05281b3d,running,dev_internetds_health_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.21,,test_sg_app_internetds ,test_internetds_private
i-0194ab39,running,internetds_front_zkp_app01,c3.xlarge,2016-10-20 09:17:21+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.55,,sg_app_internetds_front_zkp ,kp_deploy
i-397f5d81,running,dev_internetds_datax_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.37.50,,test_sg_app_internetds ,test_internetds_private
i-5b333763,running,yc_internetds_life_loadrunner1,c3.xlarge,2016-11-15 05:59:04+00:00,cn-north-1a,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.70.241,,sg_app_internetds_life_loadrunner ,kp_deploy
i-3ce8d604,running,internetds_datax_app01,c3.xlarge,2016-10-23 12:29:47+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.84.213,,sg_app_internetds_datax ,kp_deploy
i-a3e9d79b,running,internetds_datax_yc_app01,c3.xlarge,2016-10-23 12:29:47+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.84.214,,sg_app_internetds_datax ,kp_deploy
i-fe350ec6,running,yc_internetds_life_jsyq_app01,m3.2xlarge,2016-11-04 08:06:59+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.125,,sg_app_internetds_life_jsyq ,kp_deploy
i-9c87b8a4,running,internetds_life_jsyq_app01,m3.2xlarge,2016-10-20 13:26:54+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.72.113,,sg_app_internetds_life_jsyq ,kp_deploy
i-48350e70,running,yc_internetds_front_nginx01,c3.xlarge,2016-11-04 08:08:31+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.68.80,,sg_app_internetds_front_nginx ,kp_deploy
